beverage_category,beverage,beverage_prep,calories,total fat,trans fat,saturated fat,sodium,total carbohydrates,cholesterol,dietary fibre,sugars,protein,vitamin a,vitamin c,calcium,iron,caffeine
frappuccino blended coffee,caramel (without whipped cream),Whole Milk,200,2.5,1.5,0.1,10,160,42,0,41,3.0,4,0,8,0,70.0
frappuccino blended coffee,caramel (without whipped cream),Soymilk,180,1.5,0.2,0.0,0,150,40,0,39,2.0,4,0,10,4,70.0
frappuccino blended coffee,caramel (without whipped cream),Grande Nonfat Milk,280,0.1,0.1,0.0,0,220,60,0,59,4.0,6,0,10,0,100.0
frappuccino blended coffee,caramel (without whipped cream),Whole Milk,280,3.5,2.0,0.1,10,220,60,0,59,3.0,4,0,10,0,100.0
frappuccino blended coffee,caramel (without whipped cream),Soymilk,260,1.5,0.2,0.0,0,220,58,0,56,3.0,4,0,10,6,100.0
frappuccino blended coffee,caramel (without whipped cream),Venti Nonfat Milk,330,0.1,0.1,0.0,5,290,78,0,77,5.0,10,0,15,2,130.0
frappuccino blended coffee,caramel (without whipped cream),Whole Milk,370,5.0,3.0,0.1,15,300,78,0,77,5.0,8,0,15,2,130.0
frappuccino blended coffee,caramel (without whipped cream),Soymilk,340,2.5,0.3,0.0,0,290,75,1,73,5.0,6,0,20,8,130.0
frappuccino blended coffee,java chip (without whipped cream),Tall Nonfat Milk,220,3.0,2.0,0.0,0,170,47,1,44,4.0,4,0,10,20,75.0
frappuccino blended coffee,java chip (without whipped cream),Whole Milk,240,5.0,3.5,0.1,10,170,47,1,44,4.0,4,0,8,20,75.0
frappuccino blended coffee,java chip (without whipped cream),Soymilk,220,4.0,2.5,0.0,0,170,45,1,42,3.0,4,0,10,20,75.0
frappuccino blended coffee,java chip (without whipped cream),Grande Nonfat Milk,310,4.0,3.0,0.0,0,250,67,2,62,5.0,6,0,10,25,110.0
frappuccino blended coffee,java chip (without whipped cream),Whole Milk,340,7.0,5.0,0.1,10,250,67,2,62,5.0,4,0,10,25,110.0
frappuccino blended coffee,java chip (without whipped cream),Soymilk,310,6.0,3.5,0.0,0,240,65,2,60,4.0,4,0,10,30,110.0
frappuccino blended coffee,java chip (without whipped cream),Venti Nonfat Milk,420,5.0,4.0,0.0,5,340,90,2,84,7.0,10,0,20,35,145.0
frappuccino blended coffee,java chip (without whipped cream),Whole Milk,460,10.0,7.0,0.2,15,340,90,2,84,7.0,6,0,15,35,145.0
frappuccino blended coffee,java chip (without whipped cream),Soymilk,430,8.0,4.5,0.0,0,330,88,3,80,6.0,6,0,20,40,145.0
frappuccino light blended coffee,coffee,Tall Nonfat Milk,90,0.1,0.0,0.0,0,160,20,0,19,3.0,4,0,10,0,70.0
frappuccino light blended coffee,coffee,Grande Nonfat Milk,120,0.1,0.1,0.0,0,210,26,0,26,3.0,6,0,10,0,95.0
frappuccino light blended coffee,coffee,Venti Nonfat Milk,160,0.1,0.1,0.0,5,270,34,0,33,5.0,8,0,15,2,120.0
frappuccino light blended coffee,mocha,Tall Nonfat Milk,110,0.5,0.4,0.0,0,150,24,1,23,3.0,4,0,8,6,70.0
frappuccino light blended coffee,mocha,Grande Nonfat Milk,150,1.0,0.5,0.0,0,200,33,1,30,4.0,6,0,10,8,95.0
frappuccino light blended coffee,mocha,Venti Nonfat Milk,210,1.0,0.5,0.0,5,280,46,1,42,6.0,8,0,15,10,130.0
frappuccino light blended coffee,caramel,Tall Nonfat Milk,100,0.1,0.0,0.0,0,140,23,0,23,3.0,4,0,8,0,65.0
frappuccino light blended coffee,caramel,Grande Nonfat Milk,150,0.1,0.1,0.0,0,200,33,0,32,3.0,6,0,10,0,90.0
frappuccino light blended coffee,caramel,Venti Nonfat Milk,200,0.1,0.1,0.0,5,270,44,0,43,5.0,8,0,15,2,120.0
frappuccino light blended coffee,java chip,Tall Nonfat Milk,150,3.0,2.0,0.0,0,170,30,1,27,4.0,4,0,10,20,70.0
frappuccino light blended coffee,java chip,Grande Nonfat Milk,220,4.0,3.0,0.0,0,240,43,2,39,5.0,6,0,10,25,105.0
frappuccino light blended coffee,java chip,Venti Nonfat Milk,290,5.0,4.0,0.0,5,320,58,2,52,7.0,8,0,15,35,165.0
frappuccino blended crme,strawberries  crme (without whipped cream),Tall Nonfat Milk,170,0.1,0.1,0.0,0,140,39,0,38,3.0,6,6,10,2,0.0
frappuccino blended crme,strawberries  crme (without whipped cream),Whole Milk,190,3.0,1.5,0.1,10,140,38,0,37,3.0,4,6,10,2,0.0
frappuccino blended crme,strawberries  crme (without whipped cream),Soymilk,170,1.5,0.2,0.0,0,135,37,1,35,3.0,4,6,10,6,0.0
frappuccino blended crme,strawberries  crme (without whipped cream),Grande Nonfat Milk,230,0.2,0.1,0.0,0,190,53,0,52,4.0,8,6,15,4,0.0
frappuccino blended crme,strawberries  crme (without whipped cream),Whole Milk,260,4.0,2.0,0.1,10,190,53,0,52,4.0,6,6,15,4,0.0
frappuccino blended crme,strawberries  crme (without whipped cream),Soymilk,240,2.0,0.2,0.0,0,180,51,1,49,3.0,4,6,15,8,0.0
frappuccino blended crme,strawberries  crme (without whipped cream),Venti Nonfat Milk,310,0.2,0.1,0.0,5,260,70,0,69,6.0,10,8,20,4,0.0
frappuccino blended crme,strawberries  crme (without whipped cream),Whole Milk,350,6.0,3.0,0.2,15,260,70,0,68,6.0,8,8,20,4,0.0
frappuccino blended crme,strawberries  crme (without whipped cream),Soymilk,320,3.2,0.4,0.0,0,250,67,1,64,5.0,6,8,20,10,0.0
frappuccino blended crme,vanilla bean (without whipped cream),Tall Nonfat Milk,170,0.1,0.1,0.0,0,160,39,0,38,4.0,6,0,10,0,0.0
frappuccino blended crme,vanilla bean (without whipped cream),Whole Milk,200,3.5,2.0,0.1,10,160,39,0,38,3.0,6,0,10,0,0.0
frappuccino blended crme,vanilla bean (without whipped cream),Soymilk,180,1.5,0.2,0.0,0,160,37,1,35,3.0,4,0,10,6,0.0
frappuccino blended crme,vanilla bean (without whipped cream),Grande Nonfat Milk,240,0.1,0.1,0.0,5,230,56,0,55,5.0,8,0,15,0,0.0
